Hospital Name,county,level,Address,Number of OB Beds
Houston Healthcare,Houston,,"1601 Watson Boulevard, Warner Robins, GA 31093",20
Fairview Park Hospital,Laurens,,"200 Industrial Boulevard, Dublin, GA 31021",21
Liberty Regional Medical Center,Liberty,,"462 E.G. Miles Parkway, Hinesville, GA 31313",4
SGMC Health,Lowndes,,"2501 N. Patterson Street, Valdosta, GA 31602",28
Piedmont Columbus Regional Midtown,Muscogee,4,"710 Center Street, Columbus, GA 31901",71
St. Francis-Emory Healthcare,Muscogee,4,"2122 Manchester Expressway, Columbus, GA 31904",31
Piedmont Newton Hospital,Newton,4,"5126 Hospital Drive NE, Covington, GA 30014",14
Piedmont Mountainside Medical Center,Pickens,4,"1266 Highway 515 South, Jasper, GA 30143",4
Doctors Hospital of Augusta,Richmond,,"3651 Wheeler Road, Augusta, GA 30909",29
Piedmont Augusta Hospital,Richmond,4,"1350 Walton Way, Augusta, GA 30901",50
Wellstar MCG Health,Richmond,4,"1120 15th Street, Augusta, GA 30912",22
Piedmont Rockdale Hospital,Rockdale,4,"1412 Milstead Avenue NE, Conyers, GA 30012",11
"Donalsonville Hospital, Inc.",Seminole,,"102 Hospital Circle, Donalsonville, GA 39845",4
Wellstar Spalding Medical Center,Spalding,4,"601 S. 8th Street, Griffin, GA 30224",20
Phoebe Sumter Medical Center,Sumter,3,"126 HWY 280 W, Americus, GA 31719",10
Archbold Memorial Hospital,Thomas,2,"Gordon Avenue at Mimosa Drive, Thomasville, GA 31792",11
Tift Regional Medical Center,Tift,2,"901 East 18th Street, Tifton, GA 31794",26
Memorial Health Meadows Hospital,Toombs,4,"1 Meadows Parkway, Vidalia, GA 30474",5
Wellstar West Georgia Medical Center,Troup,2,"1514 Vernon Road, LaGrange, GA 30240",16
Union General Hospital,Union,1,"35 Hospital Road, Blairsville, GA 30512",4
Upson Regional Medical Center,Upson,2,"801 W. Gordon Street, Thomaston, GA 30286",10
Piedmont Walton Hospital,Walton,4,"2151 W. Spring Street, Monroe, GA 30655",7
Memorial Satilla Health,Ware,4,"1900 Tebeau Street, Waycross, GA 31501",13
Wayne Memorial Hospital,Wayne,,"865 S. First Street, Jesup, GA 31545",12
Hamilton Medical Center,Whitfield,,"1200 Memorial Drive, Dalton, GA 30720",28
